magnitude,cdi,mmi,tsunami,sig,nst,dmin,gap,depth,latitude,longitude
6.9,3,8,0,733,0,7.496,18,10,35.9053,82.5864
6.5,0,5,1,650,0,0.409,20,122,-15.0691,167.372
6.5,0,3,1,650,0,3.651,22,44.26,-32.9076,-177.881
6.5,0,4,1,650,0,3.997,14,187,-13.8633,167.249
6.5,3,4,0,651,0,5.194,22,371,-17.1171,-176.545
7.7,1,8,1,912,0,8.05,23,10,-60.2738,-46.4011
6.9,0,5,1,732,0,8.284,17,9.97,-60.2627,-47.0621
6.6,6,7,1,723,0,0.636,31,27,-30.2921,-71.5215
7.1,6,4,1,872,0,3.968,10,35,37.1557,144.661
6.6,8,5,1,692,0,1.98,44,9.45,26.0913,-110.321
6.8,0,6,1,711,0,5.79,9,35,-6.4456,154.931
7.1,9,8,1,1092,0,3.144,12,19.04,9.8796,124.117
6.6,5,6,0,691,0,1.984,40,40,35.5142,23.2523
6.7,0,3,0,691,0,2.958,11,573,53.1995,152.786
6.5,0,4,1,650,0,1.709,21,41.54,-30.9255,-178.323
6.8,7,7,0,1005,0,7.359,17,12,27.1825,65.5052
7.1,8,7,1,843,0,4.446,17,40,-15.8385,-74.5112
7.7,5,8,0,2015,0,7.241,17,15,26.951,65.5009
6.5,0,6,1,650,0,0.735,24,20,51.5573,-174.767
6.5,5,3,0,739,0,3.276,26,402,29.9377,138.833
6.5,4,5,0,668,0,3.097,11,112,-7.44,128.221
